연도,지역,인구,출생아수(명),사망자수(명)
2011,제주,576156,5628.0,3021.0
2012,전국,50948272,484550.0,267221.0
2012,서울,10195318,93914.0,41514.0
2012,부산,3538484,28673.0,20534.0
2012,대구,2505644,21472.0,12352.0
2012,인천,2843981,27781.0,12881.0
2012,광주,1469216,14392.0,6874.0
2012,대전,1524583,15279.0,6580.0
2012,울산,1147256,12160.0,4567.0
2012,세종,113117,1054,820
2012,경기,12093299,124746.0,50830.0
2012,강원,1538630,12426.0,11030.0
2012,충북,1565628,15139.0,10478.0
2012,충남,2028777,20448.0,13994.0
2012,전북,1873341,16238.0,13700.0
2012,전남,1909618,16990.0,16766.0
2012,경북,2698353,24635.0,20644.0
2012,경남,3319314,33211.0,20419.0
2012,제주,583713,5992.0,3238.0
2013,전국,51141463,436455.0,266257.0
2013,서울,10143645,84066.0,42063.0
2013,부산,3527635,25831.0,20096.0
2013,대구,2501588,19340.0,12531.0
2013,인천,2879782,25560.0,13039.0
2013,광주,1472910,12729.0,6891.0
2013,대전,1532811,14099.0,6634.0
2013,울산,1156480,11330.0,4871.0
2013,세종,122153,1111,812
2013,경기,12234630,112129.0,50959.0
2013,강원,1542263,10980.0,10756.0
2013,충북,1572732,13658.0,10371.0
2013,충남,2047631,18628.0,13854.0
2013,전북,1872965,14555.0,13492.0
2013,전남,1907172,15401.0,16332.0
2013,경북,2699440,22206.0,20245.0
2013,경남,3333820,29504.0,19994.0
2013,제주,593806,5328.0,3317.0
2014,전국,51327916,435435.0,267692.0
2014,서울,10103233,83711.0,42153.0
2014,부산,3519401,26190.0,20230.0
2014,대구,2493264,19361.0,12642.0
2014,인천,2902608,25786.0,13409.0
2014,광주,1475884,12729.0,6935.0
2014,대전,1531809,13962.0,6564.0
2014,울산,1166377,11556.0,4695.0
2014,세종,156125,1344,853
2014,경기,12357830,112169.0,51425.0
2014,강원,1544442,10662.0,11004.0
2014,충북,1578933,13366.0,10174.0
2014,충남,2062273,18200.0,14149.0
2014,전북,1871560,14231.0,13563.0
2014,전남,1905780,14817.0,16053.0
2014,경북,2700794,22062.0,20304.0
2014,경남,3350257,29763.0,20239.0
2014,제주,607346,5526.0,3300.0
2015,전국,51529338,438420.0,275895.0
2015,서울,10022181,83005.0,43053.0
2015,부산,3513777,26645.0,20820.0
2015,대구,2487829,19438.0,13081.0
2015,인천,2925815,25491.0,13452.0
2015,광주,1472199,12441.0,7443.0
2015,대전,1518775,13774.0,6961.0
2015,울산,1173534,11732.0,4915.0
2015,세종,210884,2708,979
2015,경기,12522606,113495.0,53005.0
2015,강원,1549507,10929.0,11301.0
2015,충북,1583952,13563.0,10638.0
2015,충남,2077649,18604.0,14469.0
2015,전북,1869711,14087.0,13721.0
2015,전남,1908996,15061.0,16543.0
2015,경북,2702826,22310.0,20862.0
2015,경남,3364702,29537.0,21313.0
2015,제주,624395,5600.0,3339.0
2016,전국,51696216,406243.0,280827.0
2016,서울,9930616,75536.0,43540.0
2016,부산,3498529,24906.0,21074.0
2016,대구,2484557,18298.0,13502.0
2016,인천,2943069,23609.0,14119.0
2016,광주,1469214,11580.0,7247.0
2016,대전,1514370,12436.0,6958.0
2016,울산,1172304,10910.0,4947.0
2016,세종,243048,3297,1065
2016,경기,12716780,105643.0,55215.0
2016,강원,1550806,10058.0,11437.0
2016,충북,1591625,12742.0,10787.0
2016,충남,2096727,17302.0,14600.0
2016,전북,1864791,12698.0,14062.0
2016,전남,1903914,13980.0,16561.0
2016,경북,2700398,20616.0,20978.0
2016,경남,3373871,27138.0,21193.0
2016,제주,641597,5494.0,3542.0
2017,전국,51778544,357771.0,285534.0
2017,서울,9857426,65389.0,42932.0
2017,부산,3470653,21480.0,21434.0
2017,대구,2475231,15946.0,13629.0
2017,인천,2948542,20445.0,14290.0
2017,광주,1463770,10120.0,7560.0
2017,대전,1502227,10851.0,7029.0
2017,울산,1165132,9381.0,4886.0
2017,세종,280100,3504,1159
2017,경기,12873895,94088.0,56852.0
2017,강원,1550142,8958.0,11545.0
2017,충북,1594432,11394.0,11104.0
2017,충남,2116770,15670.0,15321.0
2017,전북,1854607,11348.0,14295.0
2017,전남,1896424,12354.0,16848.0
2017,경북,2691706,17957.0,21278.0
2017,경남,3380404,23849.0,21634.0
2017,제주,657083,5037.0,3738.0
2018,전국,51826059,326822.0,298820.0
2018,서울,9765623,58074.0,45219.0
2018,부산,3441453,19152.0,22570.0
2018,대구,2461769,14400.0,14070.0
2018,인천,2954642,20087.0,15316.0
2018,광주,1459336,9105.0,7781.0
2018,대전,1489936,9337.0,7403.0
2018,울산,1155623,8149.0,5349.0
2018,세종,314126,3703,1259
2018,경기,13077153,88175.0,60050.0
2018,강원,1543052,8351.0,11976.0
2018,충북,1599252,10586.0,11334.0
2018,충남,2126282,14380.0,15802.0
2018,전북,1836832,10001.0,14552.0
2018,전남,1882970,11238.0,17219.0
2018,경북,2676831,16079.0,22289.0
2018,경남,3373988,21224.0,22719.0
2018,제주,667191,4781.0,3912.0
2019,전국,51849861,302676.0,295110.0
2019,서울,9729107,53673.0,43829.0
2019,부산,3413841,17049.0,22260.0
2019,대구,2438031,13233.0,13752.0
2019,인천,2957026,18522.0,15131.0
2019,광주,1456468,8364.0,7635.0
2019,대전,1474870,8410.0,7502.0
2019,울산,1148019,7539.0,5268.0
2019,세종,340575,3819,1221
2019,경기,13239666,83198.0,60568.0
2019,강원,1541502,8283.0,11906.0
2019,충북,1600007,9333.0,11363.0
2019,충남,2123709,13228.0,15596.0
2019,전북,1818917,8971.0,14525.0
2019,전남,1868745,10832.0,16787.0
2019,경북,2665836,14472.0,21703.0
2019,경남,3362553,19250.0,22105.0
2019,제주,670989,4500.0,3959.0
2020,전국,51829023,272337.0,304948.0
2020,서울,9668465,47445.0,45522.0
2020,부산,3391946,15058.0,22950.0
2020,대구,2418346,11193.0,14460.0
2020,인천,2942828,16040.0,15689.0
2020,광주,1450062,7318.0,7785.0
2020,대전,1463882,7481.0,7572.0
2020,울산,1136017,6617.0,5302.0
2020,세종,355831,3468,1317
2020,경기,13427014,77737.0,62794.0
2020,강원,1542840,7835.0,12182.0
2020,충북,1600837,8607.0,11594.0
2020,충남,2121029,11950.0,16022.0
2020,전북,1804104,8165.0,14691.0
2020,전남,1851549,9738.0,17436.0
2020,경북,2639422,12873.0,22799.0
2020,경남,3340216,16823.0,22881.0
2020,제주,674635,3989.0,3952.0
2021,전국,51638809,260562.0,317680.0
2021,서울,9509458,45531.0,48798.0
2021,부산,3350380,14446.0,23531.0
2021,대구,2385412,10661.0,14560.0
2021,인천,2948375,14947.0,16493.0
2021,광주,1441611,7956.0,7981.0
2021,대전,1452251,7414.0,7889.0
2021,울산,1121592,6127.0,5493.0
2021,세종,371895,3570,1354
2021,경기,13565450,76139.0,67399.0
2021,강원,1538492,7357.0,12749.0
2021,충북,1597427,8190.0,11941.0
2021,충남,2119257,10984.0,16326.0
2021,전북,1786855,7475.0,15049.0
2021,전남,1832803,8430.0,17568.0
2021,경북,2626609,12045.0,22928.0
2021,경남,3314183,15562.0,23392.0
2021,제주,676759,3728.0,4229.0
2022,전국,51439038,249186.0,372939.0
2022,서울,9428372,42602.0,55296.0
2022,부산,3317812,14134.0,27713.0
2022,대구,2363691,10134.0,17592.0
2022,인천,2967314,14464.0,18957.0
2022,광주,1431050,7446.0,9350.0
2022,대전,1446072,7677.0,9302.0
2022,울산,1110663,5399.0,6369.0
2022,세종,383591,3209,1678
2022,경기,13589432,75323.0,79010.0
2022,강원,1536498,7278.0,15086.0
2022,충북,1595058,7452.0,14108.0
2022,충남,2123037,10221.0,19719.0
2022,전북,1769607,7032.0,17852.0
2022,전남,1817697,7888.0,20876.0
2022,경북,2600492,11311.0,27840.0
2022,경남,3280493,14017.0,27385.0
2022,제주,678159,3599.0,4806.0
2023,전국,51325329,230028.0,352511.0
2023,서울,9386034,39456.0,51446.0
2023,부산,3293362,12866.0,26303.0
2023,대구,2374960,9410.0,16556.0
2023,인천,2997410,13659.0,18242.0
2023,광주,1419237,6172.0,8866.0
2023,대전,1442216,7194.0,8677.0
2023,울산,1103661,5082.0,6076.0
2023,세종,386525,2761,1595
2023,경기,13630821,68817.0,74949.0
2023,강원,1527807,6688.0,14224.0
2023,충북,1593469,7580.0,13463.0
2023,충남,2130119,9436.0,18781.0
2023,전북,1754757,6622.0,17201.0
2023,전남,1804217,7828.0,19786.0
2023,경북,2554324,10186.0,25283.0
2023,경남,3251158,13049.0,26386.0
2023,제주,675252,3222.0,4677.0
